Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"There's a Wocket in my Pocket","Dr. Seuss / Prototype Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/112496634/theres-a-wocket-in-my-pocket,1.6,-1,Sport,5.8,1,20,30.3623,-98.125
"Last Meows","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/112397367/last-meows,2.3,-1,Sport,5.10a,1,40,30.3636,-98.1255
"Serpentine Crack","Arbor Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/112779646/serpentine-crack,2.0,-1,Sport,5.7,1,30,30.3645,-98.1264
"Bolted like Reimer's","Crankenstein > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/106589260/bolted-like-reimers,1.9,-1,Sport,5.10,1,35,30.3612,-98.1254
"Pika Peak","Landfill Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/120463783/pika-peak,2.5,-1,Sport,5.10b/c,1,,30.36259,-98.12457
Kindling,"Arbor Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/110089103/kindling,2.1,-1,Sport,5.10b,1,25,30.3645,-98.1264
Fearless,"T-Roofic Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105905895/fearless,1.7,-1,Sport,5.10a,1,,30.3651,-98.1271
"Back Off Crack","Crankenstein > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105886557/back-off-crack,2.0,-1,"Trad, Sport",5.9,1,,30.3612,-98.1254
"The Sting","Dead Cats Annex > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/112457861/the-sting,2.3,-1,Sport,5.9,1,35,30.36345,-98.12538
"How to Counter Your Apprehension","War on Rugs Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/112333806/how-to-counter-your-apprehension,2.2,-1,Sport,5.10a,1,40,30.3612,-98.12542
"Daddys Girl","Hand Beyond Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105905887/daddys-girl,1.9,-1,Sport,5.10b,1,,30.3664,-98.1287
"Mammaz Boyz","Dead Cats Annex > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/107967962/mammaz-boyz,2.3,-1,Sport,5.9,1,35,30.36345,-98.12538
"Hack in the Fast Lane","Arbor Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/112779627/hack-in-the-fast-lane,1.6,-1,Sport,5.9,1,30,30.3645,-98.1264
Antonian,"Hand Beyond Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/109769538/antonian,1.9,-1,Sport,"5.8 PG13",1,25,30.3664,-98.1287
Unnamed,"Dead Cats Annex > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/119317393/unnamed,2.0,-1,Sport,5.10b,1,,30.36345,-98.12538
"George of the Jungle","Arbor Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/108964428/george-of-the-jungle,2.0,-1,Sport,5.10b,1,35,30.3645,-98.1264
"Unknown 10a","Hand Beyond Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/108479609/unknown-10a,1.7,-1,Sport,5.10a,1,25,30.3664,-98.1287
"Quality Ivy","Dead Cats Annex > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/112457869/quality-ivy,2.0,-1,Sport,5.10a,1,35,30.36345,-98.12538
"Annie Up (5.9) variation","Hand Beyond Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/109769663/annie-up-59-variation,2.0,-1,Sport,5.9,1,25,30.3664,-98.1287
"Booger Boy","Hand Beyond Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/108848417/booger-boy,1.5,-1,Sport,5.10b,1,25,30.3664,-98.1287
"Monkey Pajamas","Landfill Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/112491418/monkey-pajamas,1.7,-1,Sport,"5.10a PG13",1,20,30.36259,-98.12457
"Bolted like Mex","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/106089039/bolted-like-mex,1.4,-1,Sport,"5.10 R",1,35,30.3636,-98.1255
"Western Exposure","Zoey's Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/119317577/western-exposure,1.3,-1,Sport,5.9,1,,30.363,-98.125
"Scary 7-11","Crankenstein > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/120036046/scary-7-11,1.0,-1,Sport,5.10-,1,35,30.3612,-98.1254
"Big Bark","Arbor Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/116152198/big-bark,1.0,-1,TR,5.9,1,,30.3645,-98.1264
